measurement_id,compound_id,measurement_origin,is_experimental,smiles,peaks,adduct_shift
65,2,GNPS/GNPS-FAULKNERLEGACY.json,True,CN1C(=N)N(C)C2(Cc3c([nH]c4ccccc34)C3(C(=O)N(C)C(=N)N3C)C2c2c[nH]c3ccccc23)C1=O,"[[130.064194, 211.287994], [144.080292, 103.853203], [154.062241, 103.636398], [155.059677, 60.397911], [156.068176, 275.354309], [157.075958, 226.264099], [171.091568, 807.979675], [184.062317, 53.686321], [198.102234, 252.059998], [199.085388, 295.974609], [212.108139, 48.54808], [227.127258, 118.6064], [240.10051, 4103.437988], [253.583694, 45.394321], [253.649994, 62.383469], [253.677856, 48.173141], [253.773529, 46.489658], [255.050537, 86.08577], [255.124329, 45035.789062], [255.460953, 69.713867], [255.511627, 54.786819], [255.529541, 60.845371], [255.578461, 66.613487], [255.654556, 64.639183], [255.704666, 69.070602], [255.752808, 90.600212], [255.777863, 54.184891], [255.815338, 47.94133], [255.840759, 83.177689], [366.122986, 47.235481], [509.240692, 7158.467773]]",1.007825032
701950,2,cfm_id,False,CN1C(=N)N(C)C2(Cc3c([nH]c4ccccc34)C3(C(=O)N(C)C(=N)N3C)C2c2c[nH]c3ccccc23)C1=O,"[[57.04472, 5.21], [382.16624, 4.44], [394.16624, 6.13], [396.18189, 14.27], [452.21933, 6.86], [453.20335, 8.49], [455.219, 4.16], [509.2408, 100.0]]",1.007825032
701951,2,cfm_id,False,CN1C(=N)N(C)C2(Cc3c([nH]c4ccccc34)C3(C(=O)N(C)C(=N)N3C)C2c2c[nH]c3ccccc23)C1=O,"[[55.02907, 36.22], [57.04472, 57.11], [86.07127, 11.35], [88.08692, 14.38], [91.05423, 11.61], [118.06513, 12.57], [126.06619, 14.24], [128.08184, 11.4], [368.15059, 11.02], [370.16624, 13.63], [392.15059, 67.57], [394.16624, 100.0], [396.18189, 46.84], [398.19754, 21.62], [420.1455, 13.93], [423.19279, 10.9], [425.20844, 78.39], [427.22409, 26.1], [450.20368, 13.38], [452.21933, 34.9], [453.20335, 17.31], [455.219, 18.23], [480.21425, 15.79], [481.24588, 22.96], [482.2299, 18.88], [492.21425, 25.27], [509.2408, 54.4]]",1.007825032
706306,2,cfm_id,False,CN1C(=N)N(C)C2(Cc3c([nH]c4ccccc34)C3(C(=O)N(C)C(=N)N3C)C2c2c[nH]c3ccccc23)C1=O,"[[57.04472, 5.21], [382.16624, 4.44], [394.16624, 6.13], [396.18189, 14.27], [452.21933, 6.86], [453.20335, 8.49], [455.219, 4.16], [509.2408, 100.0]]",1.007825032
706307,2,cfm_id,False,CN1C(=N)N(C)C2(Cc3c([nH]c4ccccc34)C3(C(=O)N(C)C(=N)N3C)C2c2c[nH]c3ccccc23)C1=O,"[[55.02907, 36.22], [57.04472, 57.11], [86.07127, 11.35], [88.08692, 14.38], [91.05423, 11.61], [118.06513, 12.57], [126.06619, 14.24], [128.08184, 11.4], [368.15059, 11.02], [370.16624, 13.63], [392.15059, 67.57], [394.16624, 100.0], [396.18189, 46.84], [398.19754, 21.62], [420.1455, 13.93], [423.19279, 10.9], [425.20844, 78.39], [427.22409, 26.1], [450.20368, 13.38], [452.21933, 34.9], [453.20335, 17.31], [455.219, 18.23], [480.21425, 15.79], [481.24588, 22.96], [482.2299, 18.88], [492.21425, 25.27], [509.2408, 54.4]]",1.007825032
1309153,2,GNPS/ALL_GNPS_NO_PROPOGATED.json,True,CN1C(=N)N(C)C2(Cc3c([nH]c4ccccc34)C3(C(=O)N(C)C(=N)N3C)C2c2c[nH]c3ccccc23)C1=O,"[[130.064194, 211.287994], [144.080292, 103.853203], [154.062241, 103.636398], [155.059677, 60.397911], [156.068176, 275.354309], [157.075958, 226.264099], [171.091568, 807.979675], [184.062317, 53.686321], [198.102234, 252.059998], [199.085388, 295.974609], [212.108139, 48.54808], [227.127258, 118.6064], [240.10051, 4103.437988], [253.583694, 45.394321], [253.649994, 62.383469], [253.677856, 48.173141], [253.773529, 46.489658], [255.050537, 86.08577], [255.124329, 45035.789062], [255.460953, 69.713867], [255.511627, 54.786819], [255.529541, 60.845371], [255.578461, 66.613487], [255.654556, 64.639183], [255.704666, 69.070602], [255.752808, 90.600212], [255.777863, 54.184891], [255.815338, 47.94133], [255.840759, 83.177689], [366.122986, 47.235481], [509.240692, 7158.467773]]",1.007825032
1957538,2,FragGenie,False,CN1C(=N)N(C)C2(Cc3c([nH]c4ccccc34)C3(C(=O)N(C)C(=N)N3C)C2c2c[nH]c3ccccc23)C1=O,"[[85.03965, 1], [86.0713, 1], [99.04272, 1], [111.04272, 1], [111.042725, 1], [114.06621, 1], [116.04949, 1], [117.05732, 1], [125.05838, 1], [126.06621, 1], [130.06514, 1], [130.06516, 1], [139.07404, 1], [140.08186, 1], [153.08969, 1], [226.08493, 1], [240.10057, 1], [240.10059, 1], [241.10841, 1], [254.11624, 1], [255.12405, 1], [255.12407, 1], [264.13297, 1], [268.1319, 1], [268.13193, 1], [269.13974, 1], [278.14862, 1], [280.13193, 1], [308.12683, 1], [308.12686, 1], [309.1585, 1], [336.1694, 1], [337.1534, 1], [355.14288, 1], [363.1439, 1], [363.14392, 1], [364.1643, 1], [364.16434, 1], [365.15955, 1], [365.15958, 1], [365.19598, 1], [366.18, 1], [369.15854, 1], [370.16635, 1], [378.1674, 1], [378.16742, 1], [379.17523, 1], [380.18304, 1], [380.18307, 1], [381.15854, 1], [384.182, 1], [384.18204, 1], [393.1909, 1], [394.19873, 1], [396.18204, 1], [409.15347, 1], [410.18512, 1], [424.17694, 1], [424.17697, 1], [425.20862, 1], [437.196, 1], [437.19604, 1], [438.18002, 1], [438.18005, 1], [452.2195, 1], [453.20352, 1], [464.17053, 1], [465.19092, 1], [465.19095, 1], [466.2226, 1], [467.2066, 1], [467.20663, 1], [479.194, 1], [479.19403, 1], [480.20184, 1], [480.20187, 1], [480.21442, 1], [480.21445, 1], [481.2461, 1], [494.2175, 1], [494.21753, 1], [495.22534, 1], [509.241, 1]]",1.007825032
6182371,2,FragGenie-1,False,CN1C(=N)N(C)C2(Cc3c([nH]c4ccccc34)C3(C(=O)N(C)C(=N)N3C)C2c2c[nH]c3ccccc23)C1=O,"[[117.05732, 1.0], [393.1909, 1.0], [494.2175, 1.0], [494.21753, 1.0], [509.241, 1.0]]",1.007825032
16972233,2,FragGenie-2,False,CN1C(=N)N(C)C2(Cc3c([nH]c4ccccc34)C3(C(=O)N(C)C(=N)N3C)C2c2c[nH]c3ccccc23)C1=O,"[[57.044735, 1.0], [57.04474, 1.0], [58.028748, 1.0], [58.02875, 1.0], [85.03965, 1.0], [86.0713, 1.0], [114.06621, 1.0], [116.04949, 1.0], [117.05732, 1.0], [126.06621, 1.0], [130.06514, 1.0], [130.06516, 1.0], [140.08186, 1.0], [241.10841, 1.0], [255.12405, 1.0], [255.12407, 1.0], [269.13974, 1.0], [370.16635, 1.0], [378.1674, 1.0], [378.16742, 1.0], [380.18304, 1.0], [380.18307, 1.0], [384.182, 1.0], [384.18204, 1.0], [393.1909, 1.0], [394.19873, 1.0], [396.18204, 1.0], [424.17694, 1.0], [424.17697, 1.0], [425.20862, 1.0], [452.2195, 1.0], [453.20352, 1.0], [479.194, 1.0], [479.19403, 1.0], [480.21442, 1.0], [480.21445, 1.0], [481.2461, 1.0], [482.2301, 1.0], [494.2175, 1.0], [494.21753, 1.0], [495.22534, 1.0], [509.241, 1.0]]",1.007825032
78,3,GNPS/GNPS-FAULKNERLEGACY.json,True,CC(=O)OC(CC1C(C=O)CCC2C1(C)CCC1C(C)(C)CCCC12C)C1=CC(=O)OC1O,"[[105.033905, 89.25], [105.067978, 139.767807], [107.083572, 87.387871], [107.7733, 34.6278], [109.100952, 236.867203], [111.004181, 37.816669], [119.085716, 295.038696], [121.099243, 155.8517], [123.041542, 131.021301], [123.114136, 344.213013], [129.067947, 54.68235], [131.086105, 66.821053], [133.06369, 98.657288], [133.098892, 275.588196], [135.076996, 35.728531], [135.114426, 266.4664], [137.058441, 105.8134], [137.128708, 67.116241], [141.068039, 38.751511], [142.070282, 35.000351], [147.075516, 60.23148], [147.115936, 116.993301], [149.096924, 61.242939], [149.132507, 230.906906], [151.147675, 36.409061], [153.086426, 74.71225], [157.105072, 35.061729], [159.040314, 54.740761], [159.078781, 35.613091], [161.042664, 76.160667], [163.071671, 107.4776], [163.147537, 457.689301], [169.064194, 38.2994], [169.09903, 81.008331], [171.118576, 66.029152], [173.091766, 79.575813], [177.160492, 118.057999], [181.097076, 34.35376], [183.118317, 35.359772], [185.13002, 38.170292], [187.077271, 51.53756], [187.147354, 122.054604], [189.084976, 157.978806], [189.125717, 38.20414], [189.164642, 55.96909], [191.071671, 123.276604], [191.176422, 428.341095], [193.083023, 50.75], [197.095642, 58.576389], [199.072708, 36.007961], [199.145966, 201.378799], [201.131226, 47.416672], [201.156677, 49.671768], [202.17308, 35.034088], [203.106155, 33.694859], [203.178986, 166.106094], [204.113953, 49.853439], [205.081589, 33.36813], [205.189972, 38.789242], [207.098709, 62.24535], [209.074402, 47.9977], [213.09079, 58.410721], [213.126526, 69.89534], [213.15892, 34.408539], [215.103958, 87.376793], [217.128738, 77.537621], [217.195267, 37.015072], [219.140167, 49.078819], [223.146271, 72.972054], [227.101715, 185.981705], [227.143555, 66.220123], [227.1754, 94.858971], [229.123138, 40.5471], [231.135788, 84.226593], [241.160751, 39.72327], [243.208817, 152.592697], [246.1521, 74.704323], [253.118896, 44.5942], [255.213699, 33.673222], [257.16037, 64.374168], [257.212616, 60.43306], [257.227051, 63.41431], [269.153564, 136.166504], [273.213623, 36.26305], [283.172821, 71.970833], [285.186615, 101.417603], [287.152496, 33.18998], [309.17691, 61.662708], [309.261353, 33.76313], [311.198975, 41.80172], [313.17984, 100.041901], [315.190857, 43.040131], [341.204041, 86.600319], [365.245789, 255.748795], [383.258453, 70.78772], [401.266235, 107.418198]]",1.007825032
